Fecha,Tipo de servicio,Vehículos,Costo,Técnico,Estado,Descripción del servicio,"Próximo servicio ",Archivos y multimedia
16/07/2025,polarizado,chevrolet n300 (https://www.notion.so/chevrolet-n300-233acec7b6e481149da0e7efc949f464?pvs=21),"350.000,00 COP",Camilo (https://www.notion.so/Camilo-233acec7b6e4810f804bd0aa88367143?pvs=21),Listo,,,
15/07/2025,pantalla android,renault sandero (https://www.notion.so/renault-sandero-233acec7b6e4818e94bfd1a6a9c0f5b5?pvs=21),"850.000,00 COP",Luis (https://www.notion.so/Luis-233acec7b6e4812f9535f4fcacc87cf3?pvs=21),Listo,,,
15/07/2025,detailing,kia picanto (https://www.notion.so/kia-picanto-233acec7b6e48166a10cec377a0ee0ae?pvs=21),"600.000,00 COP",Brayan (https://www.notion.so/Brayan-233acec7b6e481eba3bfed98b4c71fad?pvs=21),Listo,,,
15/07/2025,pantalla android,kia picanto morning (https://www.notion.so/kia-picanto-morning-233acec7b6e4811fa589f1e6f2249f10?pvs=21),"500.000,00 COP","Camilo (https://www.notion.so/Camilo-233acec7b6e4810f804bd0aa88367143?pvs=21), Brayan (https://www.notion.so/Brayan-233acec7b6e481eba3bfed98b4c71fad?pvs=21)",Listo,,,
16/07/2025,polarizado nanoceramica,renault logan (https://www.notion.so/renault-logan-233acec7b6e4814b82bce6d5c6a8c100?pvs=21),"350.000,00 COP",Fernando (https://www.notion.so/Fernando-233acec7b6e4813bbf10c804e1881f89?pvs=21),Listo,,,
16/07/2025,polaizado nanoceramica,spark gt (https://www.notion.so/spark-gt-233acec7b6e481cda103d9db5501c3ce?pvs=21),"350.000,00 COP",Frank (https://www.notion.so/Frank-233acec7b6e48156afb6d3685a8970b7?pvs=21),Listo,,,
17/07/2025,polarizado nanocarbono,mazda 3 (https://www.notion.so/mazda-3-233acec7b6e48195b3b3e33117affbb6?pvs=21),"250.000,00 COP","Fernando (https://www.notion.so/Fernando-233acec7b6e4813bbf10c804e1881f89?pvs=21), Daniel (https://www.notion.so/Daniel-233acec7b6e481d487fde53784bf4d7d?pvs=21)",Listo,,,
,alarma e inmovilizador,chevrolet swit (https://www.notion.so/chevrolet-swit-233acec7b6e4800f9e93d7747cd73c87?pvs=21),"150.000,00 COP",Juan (https://www.notion.so/Juan-233acec7b6e48157a624c6f213a9f466?pvs=21),En curso,,,
